Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/components.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/components.eda.nokia.com/v2,GET,ResourceList,resource_list,true,true,false
/apps/components.eda.nokia.com/v2/_ui/{pathname},GET,UIResult,,false,false,false
/apps/components.eda.nokia.com/v2/chassis,GET,com.nokia.eda.components.v2.ChassisList,,false,false,false
/apps/components.eda.nokia.com/v2/components,GET,com.nokia.eda.components.v2.ComponentList,,false,false,false
/apps/components.eda.nokia.com/v2/controlmodules,GET,com.nokia.eda.components.v2.ControlModuleList,,false,false,false
/apps/components.eda.nokia.com/v2/fabricmodules,GET,com.nokia.eda.components.v2.FabricModuleList,,false,false,false
/apps/components.eda.nokia.com/v2/fans,GET,com.nokia.eda.components.v2.FanList,,false,false,false
/apps/components.eda.nokia.com/v2/interfacemodules,GET,com.nokia.eda.components.v2.InterfaceModuleList,,false,false,false
/apps/components.eda.nokia.com/v2/monitors,GET,com.nokia.eda.components.v2.MonitorList,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/chassis,GET,com.nokia.eda.components.v2.ChassisList,chassis_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/chassis/{name},GET,com.nokia.eda.components.v2.Chassis,chassis,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/chassis/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/chassis/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/components,GET,com.nokia.eda.components.v2.ComponentList,component_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/components/{name},GET,com.nokia.eda.components.v2.Component,component,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/components/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/components/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/controlmodules,GET,com.nokia.eda.components.v2.ControlModuleList,control_module_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/controlmodules/{name},GET,com.nokia.eda.components.v2.ControlModule,control_module,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/controlmodules/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/controlmodules/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fabricmodules,GET,com.nokia.eda.components.v2.FabricModuleList,fabric_module_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fabricmodules/{name},GET,com.nokia.eda.components.v2.FabricModule,fabric_module,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fabricmodules/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fabricmodules/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fans,GET,com.nokia.eda.components.v2.FanList,fan_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fans/{name},GET,com.nokia.eda.components.v2.Fan,fan,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fans/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/fans/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/interfacemodules,GET,com.nokia.eda.components.v2.InterfaceModuleList,interface_module_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/interfacemodules/{name},GET,com.nokia.eda.components.v2.InterfaceModule,interface_module,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/interfacemodules/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/interfacemodules/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors,DELETE,com.nokia.eda.components.v2.MonitorList,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors,GET,com.nokia.eda.components.v2.MonitorList,monitor_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors,POST,com.nokia.eda.components.v2.Monitor,monitor,true,false,true
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/_deleted,GET,com.nokia.eda.components.v2.Monitor_DeletedResources,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name},DELETE,Status,monitor,true,false,true
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name},GET,com.nokia.eda.components.v2.Monitor,monitor,true,true,true
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name},PATCH,com.nokia.eda.components.v2.Monitor,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name},PUT,com.nokia.eda.components.v2.Monitor,monitor,true,false,true
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/monitors/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/powersupplies,GET,com.nokia.eda.components.v2.PowerSupplyList,power_supply_list,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/powersupplies/{name},GET,com.nokia.eda.components.v2.PowerSupply,power_supply,true,true,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/powersupplies/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v2/namespaces/{namespace}/powersupplies/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/components.eda.nokia.com/v2/powersupplies,GET,com.nokia.eda.components.v2.PowerSupplyList,,false,false,false
